2019-06-28 17:09:37,466 | Spider | INFO  | <font color="red">机场[合肥新桥]航班号[HU7441]出发地[合肥新桥]目的地[厦门]延误时间[95],不符合条件</font>
2019-06-28 17:09:37,655 | Spider | INFO  | <font color="green">[9H8377]航班延误时间计算中...</font>
2019-06-28 17:09:40,516 | Spider | INFO  | 9H8377 台州 17:00 17:48
2019-06-28 17:09:40,517 | Spider | INFO  | <font color="red">机场[合肥新桥]航班号[9H8377]出发地[合肥新桥]目的地[台州]延误时间[48],不符合条件</font>
2019-06-28 17:09:40,555 | Spider | INFO  | <font color="green">[UQ2522]航班延误时间计算中...</font>
2019-06-28 17:09:40,900 | Spider | INFO  | UQ2522 兰州 18:20 19:00
2019-06-28 17:09:40,903 | Spider | INFO  | <font color="red">机场[合肥新桥]航班号[UQ2522]出发地[合肥新桥]目的地[兰州]延误时间[40],不符合条件</font>
2019-06-28 17:09:40,908 | Spider | INFO  | 更新航班记录成功!
2019-06-28 17:09:40,909 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-28 17:09:43,785 | Spider | INFO  | [三亚凤凰]：机场航班信息获取中...
2019-06-28 17:09:51,710 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-28 17:09:56,509 | Spider | INFO  | 机号为空跳过
2019-06-28 17:09:56,585 | Spider | INFO  | <font color="green">[HU7280]航班延误时间计算中...</font>
2019-06-28 17:09:56,992 | Spider | INFO  | HU7280 北京首都 15:05 19:05
2019-06-28 17:09:56,993 | Spider | INFO  | <font color="green">content:机场[三亚凤凰]航班号[HU7280]出发地[三亚凤凰]目的地[北京首都]延误时间[240]</font>
2019-06-28 17:09:57,385 | Spider | INFO  | <font color="green">[EU2252]航班延误时间计算中...</font>
2019-06-28 17:09:57,516 | Spider | INFO  | EU2252 遵义 16:00 17:45
2019-06-28 17:09:57,517 | Spider | INFO  | <font color="red">机场[三亚凤凰]航班号[EU2252]出发地[三亚凤凰]目的地[遵义]延误时间[105],不符合条件</font>
2019-06-28 17:09:57,548 | Spider | INFO  | <font color="green">[HO1130]航班延误时间计算中...</font>
2019-06-28 17:09:57,808 | Spider | INFO  | HO1130 上海虹桥 16:40 17:14
